generation,rank_1,rank_2,swapAccepted
573000,1,2,1
574000,3,4,1
575000,1,4,1
576000,2,4,1
577000,2,4,1
578000,1,2,1
579000,2,4,1
580000,2,3,1
581000,3,4,1
582000,1,3,1
583000,1,3,1
584000,1,2,1
585000,2,4,1
586000,1,4,1
587000,2,3,1
588000,3,4,1
589000,1,3,1
590000,1,4,1
591000,2,4,1
592000,2,4,1
593000,1,3,1
594000,2,3,1
595000,1,3,1
596000,1,3,1
597000,2,4,1
598000,2,3,1
599000,1,3,1
600000,1,3,1
601000,1,4,0
602000,2,4,1
603000,2,4,1
604000,3,4,1
605000,1,4,1
606000,1,2,1
607000,1,2,1
608000,1,4,1
609000,3,4,1
610000,2,3,1
611000,2,4,1
612000,3,4,1
613000,1,4,1
614000,3,4,1
615000,3,4,1
616000,1,3,1
617000,2,4,1
618000,1,2,1
619000,1,3,1
620000,1,3,1
621000,3,4,1
622000,1,4,1
623000,1,4,1
624000,1,3,1
625000,2,4,1
626000,1,3,1
627000,2,4,1
628000,2,4,1
629000,2,3,1
630000,1,3,1
631000,2,4,1
632000,3,4,1
633000,1,4,1
634000,1,4,1
635000,1,4,1
636000,2,3,1
637000,2,4,1
638000,1,4,1
639000,3,4,1
640000,2,4,1
641000,1,2,1
642000,1,3,0
643000,1,3,1
644000,3,4,1
645000,3,4,1
646000,2,4,1
647000,2,4,1
648000,2,3,1
649000,3,4,1
650000,2,4,1
651000,1,3,1
652000,2,4,1
653000,1,3,1
654000,2,4,1
655000,3,4,1
656000,3,4,1
657000,2,4,1
658000,1,4,1
659000,2,4,1
660000,1,2,1
661000,2,4,1
662000,1,3,1
663000,1,3,1
664000,1,3,1
665000,1,2,1
666000,1,4,1
667000,2,3,1
668000,2,3,1
669000,3,4,1
670000,2,4,1
671000,3,4,1
672000,1,2,1
673000,3,4,1
674000,1,4,1
675000,2,3,1
676000,2,3,1
677000,3,4,1
678000,1,3,1
679000,2,4,1
680000,1,4,1
681000,3,4,1
682000,1,4,1
683000,3,4,1
684000,1,4,1
685000,1,2,1
686000,1,2,1
687000,1,3,1
688000,2,4,1
689000,1,2,1
690000,2,4,1
691000,1,4,1
692000,2,3,1
693000,1,2,1
694000,1,4,1
695000,2,4,1
696000,2,4,1
697000,2,3,1
698000,1,3,1
699000,2,4,1
700000,2,3,1
701000,3,4,1
702000,1,3,1
703000,1,4,1
704000,1,2,1
705000,3,4,1
706000,3,4,1
707000,3,4,1
708000,1,2,1
709000,3,4,1
710000,1,2,1
711000,1,4,0
712000,1,2,1
713000,3,4,1
714000,2,4,1
715000,3,4,1
716000,3,4,1
717000,2,3,1
718000,1,2,1
719000,1,3,1
720000,2,3,1
721000,2,3,1
722000,1,4,1
723000,1,3,1
724000,1,4,1
725000,1,4,1
726000,1,3,1
727000,2,3,1
728000,3,4,1
729000,3,4,1
730000,1,2,1
731000,3,4,1
732000,1,4,1
733000,1,3,1
734000,1,3,1
735000,1,2,1
736000,3,4,1
737000,2,3,1
738000,1,2,1
739000,1,3,1
740000,2,4,1
741000,1,2,1
742000,1,4,1
743000,1,3,1
744000,2,3,1
745000,1,3,1
746000,1,4,1
747000,3,4,1
748000,1,4,1
749000,2,3,1
750000,2,4,1
751000,1,2,1
752000,2,3,1
753000,2,4,1
754000,2,4,1
755000,1,2,1
756000,1,3,1
757000,1,4,1
758000,2,4,1
759000,1,2,1
760000,2,4,1
761000,2,3,1
762000,2,4,1
763000,2,4,1
764000,1,3,1
765000,1,4,1
766000,3,4,1
767000,1,3,1
768000,1,2,1
769000,1,3,1
770000,1,4,1
771000,1,3,1
772000,1,4,1
773000,2,4,1
774000,1,2,1
775000,3,4,1
776000,1,4,1
777000,3,4,1
778000,1,2,1
779000,1,4,0
780000,1,4,0
781000,1,4,1
782000,2,4,1
783000,2,3,1
784000,3,4,1
785000,3,4,1
786000,2,4,1
787000,2,3,1
788000,2,3,1
789000,1,4,1
790000,2,3,1
791000,1,2,1
792000,3,4,1
793000,2,3,1
794000,1,3,1
795000,1,2,1
796000,1,2,1
797000,1,3,1
798000,2,3,1
799000,1,3,1
800000,3,4,1
801000,1,4,1
802000,1,4,0
803000,3,4,1
804000,2,3,1
805000,3,4,1
806000,1,4,0
807000,2,4,1
808000,2,4,1
809000,1,3,1
810000,2,3,1
811000,2,3,1
812000,2,3,1
813000,1,2,1
814000,1,2,0
815000,1,3,1
816000,1,4,1
817000,1,4,1
818000,1,3,1
819000,2,3,1
820000,2,3,1
821000,1,3,1
822000,1,4,1
823000,1,2,1
824000,2,3,1
825000,2,3,1
826000,1,3,1
827000,2,3,1
828000,1,3,0
829000,2,4,1
830000,3,4,1
831000,1,2,1
832000,3,4,1
833000,1,4,1
834000,1,4,1
835000,1,4,1
836000,1,4,1
837000,1,2,1
838000,2,3,1
839000,2,4,1
840000,2,3,1
841000,1,4,1
842000,2,3,1
843000,3,4,1
844000,1,2,1
845000,1,3,1
846000,1,2,1
847000,2,3,1
848000,2,3,0
849000,1,4,1
850000,2,3,1
851000,1,2,1
852000,2,4,1
853000,2,4,1
854000,3,4,1
855000,1,2,1
856000,1,4,1
857000,2,3,1
858000,1,4,1
859000,1,2,1
860000,1,4,1
861000,2,4,1
862000,1,2,1
863000,2,3,1
864000,2,4,1
865000,2,3,1
866000,1,2,1
867000,2,4,1
868000,2,3,1
869000,1,2,1
870000,1,4,1
871000,3,4,1
872000,2,3,1
873000,3,4,1
874000,1,2,1
875000,2,3,1
876000,2,3,1
877000,3,4,1
878000,2,3,1
879000,1,3,1
880000,3,4,1
881000,3,4,0
882000,1,3,0
883000,2,3,1
884000,2,3,1
885000,1,4,1
886000,1,2,1
887000,2,3,1
888000,1,4,1
889000,2,4,1
890000,3,4,1
891000,1,3,1
892000,1,2,1
893000,1,3,0
894000,1,3,0
895000,1,2,1
896000,3,4,1
897000,1,4,0
898000,2,3,0
899000,2,3,1
900000,2,3,1
901000,3,4,1
902000,1,2,1
903000,3,4,1
904000,1,2,1
905000,3,4,1
906000,2,4,1
907000,1,3,0
908000,2,3,1
909000,1,2,1
910000,1,2,1
911000,2,4,1
912000,2,4,1
913000,3,4,1
914000,1,2,1
915000,2,3,1
916000,1,4,1
917000,2,4,1
918000,1,4,1
919000,2,3,1
920000,1,4,1
921000,3,4,1
922000,2,4,0
923000,2,4,1
924000,1,4,1
925000,2,4,1
926000,1,4,1
927000,1,3,0
928000,1,2,1
929000,1,3,1
930000,1,4,1
931000,1,3,0
932000,3,4,1
933000,3,4,1
934000,1,2,1
935000,2,3,0
936000,1,4,1
937000,1,2,1
938000,1,4,1
939000,2,3,1
940000,1,3,1
941000,2,3,1
942000,1,2,1
943000,2,3,1
944000,2,4,1
945000,3,4,1
946000,3,4,1
947000,2,4,1
948000,2,3,1
949000,1,4,1
950000,2,3,1
951000,1,3,1
952000,3,4,0
953000,2,4,1
954000,1,2,1
955000,1,3,1
956000,1,4,1
957000,2,4,1
958000,1,2,1
959000,2,3,1
960000,1,3,1
961000,3,4,1
962000,1,3,1
963000,1,2,1
964000,1,4,1
965000,2,4,1
966000,2,4,1
967000,3,4,1
968000,2,4,1
969000,2,4,1
970000,2,3,1
971000,1,2,1
972000,1,2,1
973000,1,4,1
974000,1,3,1
975000,1,4,1
976000,2,4,1
977000,1,2,1
978000,2,4,1
979000,1,2,1
980000,1,4,1
